A-vitamiidna __ N __ A-vitamijnna
B-vitamiidna __ N __  B-vitamijnna
ovdasáhka __ N __  sárnos
ovdavánhen __ N __  ájttek
ovddastus __ N __  åvdåstibme
ovddasvástideaddji __ N __  åvdåsvásstediddje
ovddešáigi __ N __  åvdepájgge
ovddideapmi __ N __  åvddånahttem
ovttadat __ N __  avtadahka
ovttaoaivilvuohta __ N __  semalasjvuohta
ovttasdoaibmanođastus __ N __  avtastallamådåstus
ovttasdoaibma __ N __  aktisasjbarggo
ovttasráđđi __ N __  rádudallam
ovttastus __ N __  aktidus
ovttasássi __ N __  guojmmeårro
ođđabeaivi __ N __  ådåjakbiejvve
ođđadárogiella __ N __  ådådárogiella
ođđahutkan __ N __  ådådahko
ođđajagebeaivi __ N __  ådåjakbiejvve
ođđajagemánnu __ N __  ådåjakmánno
ođđajageruohtta __ N __  ådåjakruohtta
ođđajagesárdni __ N __  ådåjakhålla
ođđajahki __ N __  ådåjahke
ođđasátni __ N __  ådåbáhko
pakehta __ N __  pakiehtta
pandemiija __ N __  pandemiddja
paprihkka __ N __  paprijkka
paradiás __ N __  paradijssa
parallealla __ N __  parallælla
partialaš __ N __  parteak
paráda __ N __  paráhta
pasieanta __ N __  pasiænnta
passivitehta __ N __  passivitiehtta
peanná __ N __  pænna
pedofiila __ N __  pedofijlla
perioda __ N __  periåvddå
permsystema __ N __  permsystiebma
personnummar __ N __  personnummar
pilohta __ N __  pilåvttå
pizza __ N __  pittsá
piáno __ N __  piánoj
planehta __ N __  planiehtta
planetária __ N __  planetarijá
plánen __ N __  plánim
plásmá __ N __  plássmá
poarta __ N __  pårttå
poehtalaš __ N __  poesijjalasj
poehta __ N __  poiehtta
poema __ N __  poiebma
portála __ N __  portálla
potensiála __ N __  potensiálla
praktihkalaš __ N __  praktihkalasj
preassa __ N __  præssa
prejudikáhta __ N __  prejudikáhtta
premie __ N __  priemij
prinseassa __ N __  prinsæssa
prinsihpalaš __ N __  prinsihpalasj
prioritehta __ N __  prioritiehtta
proavás __ N __  pråvsstå
problematihkka __ N __  gássjelisvuohta
produktivitehta __ N __  produktivitiehtta
profehta __ N __  profiehtta
professor __ N __  professåvrrå
profiila __ N __  profijlla
pronomen __ N __  pronuvman
proteiidna __ N __  proteijnna
protoplásmá __ N __  protoplássmá
prámá __ N __  prábma
pyramiida __ N __  pyramijdda
páhkka __ N __  páhkke
pálbmasotnabeaivi __ N __  pálmmaájllek
pándá __ N __  pánndá
racerbiila __ N __  gilposbijlla
rahčamuš __ N __  rahtjamus
raporta __ N __  diedádus
rasisttalaš __ N __  rasistalasj
reabbá __ N __  ráppes
reahkká __ N __  ræhkka
reaidu __ N __  ræjddo
reaidu __ N __  vettsa
reaidu __ N __  vædtsak
realitehta __ N __  realitiehtta
reatkamuorji __ N __  gaskasmuorjje
reatká __ N __  gaskas
referáhta __ N __  referáhtta
reflektivitehta __ N __  reflektivitiehtta
registtar __ N __  registar
rehketdoallu __ N __  ruhtalåhko
rehket __ N __  rieknik
rekláma __ N __  ilmos
rektor __ N __  rievtor
relativitehta __ N __  relativitiehtta
rele __ N __  relæddja
reliabilitehta __ N __  reliabilitiehtta
religiovdna __ N __  relijåvnnå
restauránta __ N __  resturáŋŋa
revy __ N __  revijja
riddu __ N __  merragádde
ridnu __ N __  doarro
rieban __ N __  riebij
riegádahtti __ N __  riegádahtte
riegádanbeaivi __ N __  riegádimbiejvve
riegádus __ N __  riegádibme
riekkis __ N __  rikkas
riektačállinnjuolggadus __ N __  duollatjállemnjuolgadus
riekti __ N __  riektá
riemut __ N __  ávvudallam
rievdadus __ N __  rievddadus
rievdan __ N __  rievddam
rievssatfálli __ N __  rievsakhábak
rievssat __ N __  rievsak
rievvárbiedju __ N __  rievvársluoggo
rihkkun __ N __  mieddem
rihkku __ N __  mieddem
rihpa __ N __  ruhke
rihppaskuvla __ N __  skalloskåvllå
rihtu __ N __  rido
riikkaantikvára __ N __  rijkaantikvárra
riikkabeaivi __ N __  rijkabiejvve
riikkajoavku __ N __  rijkkajuogos
riikkarádji __ N __  rijkarádjá
riikkasearvi __ N __  rijkasiebrre
riikkavuloš __ N __  stáhtaviesát
rikkis __ N __  boanndá
risbárdni __ N __  ristabárnne
riska __ N __  vádá
risnieida __ N __  ristaniejdda
rissi __ N __  risse
risteadni __ N __  ristieddne
ristoabbá __ N __  ristaoabbá
risttalašvuohta __ N __  risstalasjvuohta
risttalaš __ N __  risstalasj
ristáhčči __ N __  ristáhttje
risviellja __ N __  ristaviellja
ritma __ N __  ritmma
rišša __ N __  rissjastihkka
riššu __ N __  navol
riđđu __ N __  rido
roahkkatvuohta __ N __  jálosvuohta
roahppi __ N __  vuorrádis
roassu __ N __  nieda
rohkosboddu __ N __  råhkådallammuddo
rohkos __ N __  rågos
rohkos __ N __  råhkålvis
rohpi __ N __  ráhpe
rohttudávda __ N __  gålggedávdda
rolla __ N __  roalla
romalaš __ N __  romak
romána __ N __  romádna
rovgoš __ N __  tjehpurislådde
ruhttejeaddji __ N __  suohttsár
ruitu __ N __  rujtta
ruksesguškil __ N __  ruoppsisgussjká
rumašlaš __ N __  rubbmelasj
rumaš __ N __  rumáj
rumbu __ N __  goabdes
ruohkki __ N __  álkko
ruohtas __ N __  ruohttsa
ruohtti __ N __  suohttse
ruoktu __ N __  sijdda
ruolla __ N __  ihtja
ruonábeibboš __ N __  ruodnábejbusj
ruossalasvuohta __ N __  vuosstebielle
ruossat __ N __  ruossat
ruovddagas __ N __  ruŋŋka
ruovdecihci __ N __  ruovddetsihtse
ruovdecizáš __ N __  ruovddetsihtse
ruovdegáŋga __ N __  ruovddegágga
ruovdemáđidja __ N __  ruovdderahte
ruovttoluottafievrrideapmi __ N __  máhtsadibme
ruovttugiella __ N __  sijddagiella
ruovttusiidu __ N __  næhttabielle
ruoššagielat __ N __  ruossjagielak
ruoŧŧelaš __ N __  svænsska
ruskalihtti __ N __  ruhtselihtte
ruska __ N __  ruhtse
rusttet __ N __  ásadus
rutiidna __ N __  rutijnna
ruvkedoaibma __ N __  gruvvodåjmadibme
ruvke __ N __  gruvvo
ruvven __ N __  massássja
ruđalaš __ N __  rudálasj
rušpi __ N __  russjpe
rytma __ N __  ritmma
rábbi __ N __  rummbo
rábát __ N __  sláddo
ráhkadus __ N __  tsiekkadus
ráhkkaneapmi __ N __  gárvedibme
ráhppa __ N __  tráhppá
ráidalas __ N __  stagán
ráidogovva __ N __  gåvvårájddo
rámbuvra __ N __  rámbuvdda
rámbuvri __ N __  rámbuvdda
rámisvuohta __ N __  mihásvuohta
rámmaeaktu __ N __  rámmaækto
rámsu __ N __  rimsso
ránnjá __ N __  ráddná
rápmi __ N __  rámmpo
rásselohkku __ N __  rássegahpan
ráva __ N __  ráde
rávdnji __ N __  strávve
rávesolmmoš __ N __  ållessjattuk
rávgoš __ N __  tjehpurislådde
ráŋggáštus __ N __  stráffa
ráđđejeaddji __ N __  rádediddje
ráđđelahttu __ N __  rádeájras
ráđđádallan __ N __  rádudallam
sabet __ N __  sabek
saddukealaš __ N __  saddukea
sahájáffu __ N __  sagmoahtta
sahájáfu __ N __  sagmoahtta
sahát __ N __  sáhkkut
sahá __ N __  sáhka
sajus __ N __  sajes
sallit __ N __  silldá
sarrit __ N __  sarre
sarvva __ N __  sarvva
seahkka __ N __  vuossa
seahčagas __ N __  snjuhtje
seakti __ N __  siebdde
seakti __ N __  ávnna
sealla __ N __  sælla
searat __ N __  sávresvuohta
searvadahttindepartemeanta __ N __  sebradahttemdepartemænnta
searvadahttin __ N __  sebrudahttem
searvegoddi __ N __  tjoaggulvis
searvevuohta __ N __  aktijvuohta
seavdnjadas __ N __  sjievnnjet
seavdnjat __ N __  sjævnnjat
seaŋga __ N __  sæŋŋga
seksa __ N __  sæksa
seksualitehta __ N __  seksualitiehtta
sekánta __ N __  sekánnta
selleri __ N __  sellerijja
semantihkalaš __ N __  semantihkalasj
seminára __ N __  seminárra
seniilademeanta __ N __  senildemænnta
seniorráđđeaddi __ N __  seniorrádevadde
sennetsiepman __ N __  senáhppagårnne
sensitivitehta __ N __  sensitivitiehtta
seriøsitehta __ N __  seriøsitiehtta
servodatfágalaš __ N __  sebrudakfágalasj
sesoŋŋa __ N __  sesoŋŋa
sidja __ N __  sáradis
siema __ N __  sádjo
siepman __ N __  virnaj
sierat __ N __  siráhppa
sierraiešvuohta __ N __  sierralágásjvuohta
signálasystema __ N __  signalsystiebma
sihkaldat __ N __  sigárdahka
sihkarvuohta __ N __  oaggásvuohta
sihkkel __ N __  syhkal
sihkkungumme __ N __  vaskun
siidu __ N __  bielle
siiggát __ N __  jábmabárro
siivu __ N __  fierdda
silki __ N __  silkki
silursystema __ N __  silursystiebma
similiija __ N __  similijja
simulatuvra __ N __  simuláhtor
sirpe __ N __  tjuohpan
sisaboahtu __ N __  sisboahto
sisafárrejeaddji __ N __  ådåboahtte
sisbuksa __ N __  truvssa
sisbuvssat __ N __  vuoleldisbåkså
sisbáidi __ N __  skirtusj
siseana __ N __  sisednam
siskiluš __ N __  sisŋusj
sisriikkalaš __ N __  sisrijkalasj
sisti __ N __  sassne
sivaheapme __ N __  sivádibme
sivdnádus __ N __  sjivnnjádus
sivdnádus __ N __  viessok
siŋŋel __ N __  siŋŋal
skadjá __ N __  skiedjá
skibir __ N __  ráddna
skierat __ N __  skárjjá
skihpár __ N __  ráddna
skiipa __ N __  háksa
skileduorastat __ N __  skalloduorastahka
skillat __ N __  skillat
skilleduorastat __ N __  skalloduorastahka
skire __ N __  skirri
skoaddu __ N __  murkádahka
skohter __ N __  muohtavuoján
skohter __ N __  skuvtar
skorpiovdna __ N __  skorpijåvnnå
skovvi __ N __  sjiebmá
skruvvabonjan __ N __  skruvvaruovdde
skruvvaruovdi __ N __  skruvvaruovdde
skuhter __ N __  muohtavuoján
skuolfi __ N __  skunjok
skuter __ N __  skuvtar
skuvlaaviisa __ N __  skåvllåavijssa
skuvlabeaivi __ N __  skåvllåbiejvve
skuvlagirjerájus __ N __  skåvllågirjjevuorkká
skuvlagirji __ N __  skåvllågirjje
skuvlainternáhta __ N __  skåvllåinternáhtta
skuvlajahki __ N __  skåvllåjahke
skuvlaviellja __ N __  skåvllåráddna
skuvlaáigi __ N __  skåvllåájgge
skuvlejupmi __ N __  skåvllim
skábma __ N __  sjievnnjisájgge
skáhpeloddi __ N __  bielljerástes
skáhčas __ N __  vuopptagoavnnje
skállu __ N __  skiello
skárrit __ N __  skárjjá
skážas __ N __  vuopptagoavnnje
smáhkkomuorra __ N __  muorrastuohppo
smáhkku __ N __  spáhkko
smávvagoalsi __ N __  vuopptagoalsse
smávvaskuvla __ N __  smávvaskåvllå
snuvssa __ N __  snuksa
snárttal __ N __  snárdal
soadjá __ N __  soadje
soagŋoolmmoš __ N __  suoggŋooajvve
soagŋu __ N __  suoggŋo
soahkerásttis __ N __  rástes
soahpamuš __ N __  såbadus
soahteskiipa __ N __  doarroháksa
soahteveahka __ N __  doarrofuovva
soahti __ N __  doarro
soaittáhat __ N __  soajtádahka
soalddát __ N __  doarroålmåj
soffá __ N __  såffå
sogalaš __ N __  berulasj
sohkabealli __ N __  sjiervve
sohkamuorra __ N __  berajmuorra
sohka __ N __  beraj
sohka __ N __  lavdda
solidaritehta __ N __  solidaritiehtta
sosialistapartiija __ N __  sosialisstapartijja
sosialista __ N __  sosialissta
sosioleakta __ N __  sosiolækta
sosiolingvista __ N __  sosiolingvissta
sosiolingvisttalaš __ N __  sosiolingvistalasj
sosiálaantropologa __ N __  sosiálaantropolåvggå
sosiálaantropologiija __ N __  sosiálaantropologijja
sosiáladarwinisma __ N __  sosiáladarwinissma
sosiálakonsuleanta __ N __  sosiálakonsulænnta
sosiálaliberalisma __ N __  sosiálaliberalissma
sosiálarealisma __ N __  sosiálarealissma
sotnabeaivi __ N __  sådnåbiejvve
sođđi __ N __  slimbar
speadjal __ N __  spiedjil
speajal __ N __  spiedjil
speallat __ N __  spellat
speallu __ N __  spælla
spenáhta __ N __  spináhtta
spiidni __ N __  svijnne
spiinnebiergu __ N __  svijnebierggo
spilla __ N __  spælla
sponsor __ N __  spånsår
spábba __ N __  bállo
spábbačiekčan __ N __  roahttotjiektjam
spáiddar __ N __  loavggá
spálfu __ N __  fálffo
spártu __ N __  vártto
stabilitehta __ N __  stabilitiehtta
stafeahtta __ N __  stafæhtta
standárda __ N __  standárdda
statistihkalaš __ N __  statistihkalasj
stevvel __ N __  stiebil
stiila __ N __  stijlla
stoagus __ N __  stoagos
stoahkanhearva __ N __  stoagos
stoahka __ N __  ståhka
stoalaš __ N __  stoika
stoalpu __ N __  stoalppa
stohpu __ N __  ståhpe
stuibmi __ N __  stuojmme
stuollu __ N __  ståvllå
stuollá __ N __  dágge
stuoraháskil __ N __  stuorskájtti
stuorradiggepresideanta __ N __  stuorradikkepresidænnta
stuorradiggeáirras __ N __  stuorradikkeájras
stuorraskávli __ N __  stuorskávlle
stuorračoavžžu __ N __  ruoppsisgussjká
sturrodat __ N __  stuorrudahka
stáffu __ N __  stárffo
stáhtaborgár __ N __  stáhtaviesát
stáhtaruhtaministeriija __ N __  ruhtadusdepartemænnta
stáhta __ N __  stáhtta
stáinnir __ N __  stájnar
stánži __ N __  stænntjo
stáđisvuohta __ N __  stajgukvuohta
submi __ N __  tjoahkke
subsidiaritehta __ N __  subsidiaritiehtta
suhkká __ N __  suvdos
sundi __ N __  sunnde
suohkanlaš __ N __  gieldalasj
suohkanpolitihkka __ N __  suohkanpolitihkka
suohkat __ N __  ráktsa
suohkku __ N __  guohpá
suohpan __ N __  sjuohpan
suohtastallan __ N __  suohtastallam
suoidnemánnu __ N __  snjilltjamánno
suoivva __ N __  sieges
suoivva __ N __  suojvvanis
suojus __ N __  sjærmma
suoldni __ N __  suollne
suollemasvuohta __ N __  suollevis
suolu __ N __  suoloj
suomagielat __ N __  suomagielak
suopman __ N __  giellasuorgge
suopman __ N __  hållamvuohke
suopma __ N __  suobma
suorbmafáhcca __ N __  hánsska
suorbmageahči __ N __  tjuvddegiehtje
suorbma __ N __  tjuvdde
suorsá __ N __  vuojatjis
suotna __ N __  suodna
suotnjoviroš __ N __  jieggetjoavtjoj
suovasbiergu __ N __  suovasbierggo
suovasguolli __ N __  suovasguolle
suovas __ N __  suovasbierggo
suovvabohcci __ N __  suovvabåhttså
suovvasoica __ N __  suovvabalvva
sushi __ N __  susjij
suttolaš __ N __  suttulasj
suverenitehta __ N __  suverenitiehtta
suvrradáigi __ N __  suvradájgge
sydisdánsa __ N __  sydisdánssa
sykkel __ N __  syhkal
symbola __ N __  symbåvllå
syntesa __ N __  syntiessa
syntáksa __ N __  syntáksa
syntávssalaš __ N __  syntávsalasj
systema __ N __  systiebma
sáhkavuorrolistu __ N __  hållamájggelissta
sáhkavuorru __ N __  hållamájgge
sáhpán __ N __  snjierrá
sáibma __ N __  viermme
sáibu __ N __  soahppo
sáigu __ N __  rimsso
sákta __ N __  sáffta
sálaš __ N __  sálaj
sálbmagirji __ N __  sálmmagirjje
sáltebiergu __ N __  sálltebierggo
sálteguolli __ N __  sállteguolle
sámediggelahttu __ N __  sámedikkeájras
sámediggeplána __ N __  sámedikkepládna
sámediggeráđđelahttu __ N __  sámedikkerádeájras
sámediggeáirras __ N __  sámedikkeájras
sámegieloahpahus __ N __  sámegielåhpadus
sámeskuvla __ N __  sámeskåvllå
sámieana __ N __  sámeednam
sámil __ N __  sæmol
sámmál __ N __  sæmol
sápmelašvuohta __ N __  sámevuohta
sárdnideaddji __ N __  sárnnediddje
sárdni __ N __  hålla
sárdnunáigi __ N __  hållamájgge
sárggusgovvaráidu __ N __  gåvvårájddo
sárggus __ N __  tjuorgas
sátnegirji __ N __  báhkogirjje
sátnejođiheaddji __ N __  suohkanoajvve
sátnevájas __ N __  báhkotsoabme
sáttokássa __ N __  sáttojkássa
sáttu __ N __  sáttoj
sávaldat __ N __  sávadus
sávdnji __ N __  sávve
sávzzabiergu __ N __  sávtsabierggo
sáŋgár __ N __  mihtok
sáđđu __ N __  tjuomas
taleanta __ N __  talænnta
tapehta __ N __  tapiehtta
teaksta __ N __  tæksta
tealtá __ N __  tællta
tearbma __ N __  tærmma
teknihkalaš __ N __  teknihkalasj
teknologalaš __ N __  teknologijjalasj
tekstualitehta __ N __  tekstualitiehtta
telefonautomáhta __ N __  telefonautomáhtta
teleplásmá __ N __  teleplássmá
tel __ N __  tlf
tempel __ N __  tiemmpil
terapevta __ N __  terapievtta
tertiearasystema __ N __  tertiærsystiebma
tiibma __ N __  kloáhkka
tiibmu __ N __  tijmma
tlf __ N __  tlf
togastašuvdna __ N __  tåhkastasjåvnnå
toga __ N __  tåhka
tomáhta __ N __  tomáhtta
tonema __ N __  toniebma
tonna __ N __  toanna
touch-systema __ N __  touch-systiebma
trafihkka __ N __  trafihkka
trasea __ N __  trasiedja
trenda __ N __  triennda
triassystema __ N __  triassystiebma
trio __ N __  tridjoj
trompehta __ N __  trompiehtta
trucksystema __ N __  trucksystiebma
trumpehta __ N __  trompiehtta
truvdnu __ N __  tråvnnå
tráktor __ N __  trávtor
tuollu __ N __  tulla
tuollár __ N __  tullár
turista __ N __  turissta
turnea __ N __  turniedja
távval __ N __  tábllo
uksaráigi __ N __  uksarájgge
ulbmilaš __ N __  ulmmelasj
ulli __ N __  ullá
ullu __ N __  hullo
unduláhta __ N __  unduláhtta
uniovdna __ N __  uniåvnnå
universitehta __ N __  universitiehtta
unnamánná __ N __  smávvamánná
unnitlogugiella __ N __  unneplågogiella
urálalaš __ N __  urálalasj
ustit __ N __  ráddna
uvdna __ N __  vuodná
uvlu __ N __  hubllo
uđas __ N __  rido
vahát __ N __  vahák
vajus __ N __  vajos
vaksiidna __ N __  vaksijnna
validitehta __ N __  validitiehtta
vallji __ N __  vallje
valljodat __ N __  valjesvuohta
valljugasvuohta __ N __  valjesvuohta
valáštallan __ N __  valástallam
vanas __ N __  vanntsa
vanca __ N __  vanntsa
vanhurskkisvuohta __ N __  rievtesferdukvuohta
varasguolli __ N __  varásguolle
vaššu __ N __  vatjoj
veaddelihtti __ N __  vieddegárre
veahkaválddálašvuohta __ N __  vahágahttem
veahkaválddálaš __ N __  vahágahtte
veahkaváldi __ N __  vahágahttem
veahka __ N __  vehka
veahkkebiila __ N __  viehkkebijlla
veahkkeneavvu __ N __  viehkkenævvo
veahkkeáhta __ N __  viehkkenævvo
veahádatgiella __ N __  unneplågogiella
veahádat __ N __  unneplåhko
veaiki __ N __  guohpár
vealaheapmi __ N __  nuppástibme
veardádus __ N __  muodulvis
vearju __ N __  værjjo
vearredahku __ N __  vierredahko
vearru __ N __  værro
veažir __ N __  miehtjer
vehádatgiella __ N __  unneplågogiella
vejolašvuohta __ N __  máhttelisvuohta
vejolaš __ N __  máhttelis
velositehta __ N __  velositiehtta
videotehka __ N __  videotiehkka
viehkat __ N __  vækta
vielppis __ N __  bednagatjivgga
vielti __ N __  bállde
vierrogiella __ N __  vieresgiella
vierru __ N __  dáhpe
viessovovdna __ N __  årojvoaŋnna
viessu __ N __  goahte
vievssis __ N __  viepses
viglačoavžžu __ N __  ruoppsisgussjká
vihttalogis __ N __  vihttalåges
vihttanuppelogis __ N __  lågenanvidás
viidnemuorji __ N __  vijnnamuorjje
viidnemuorra __ N __  vijnnamuorra
viidni __ N __  vijnna
viidodat __ N __  vijddudahka
viisodat __ N __  vijssudahka
vikiŋŋa __ N __  vijkik
vikiŋŋaáigi __ N __  vikingájgge
vilbealle __ N __  vielljabielle
vinjučála __ N __  kursijvva
viskositehta __ N __  viskositiehtta
visti __ N __  huonaj
visum __ N __  vijsum
vitamiidna __ N __  vitamijnna
viđas __ N __  vidás
vokálarievdan __ N __  vokállamålssusibme
vokálasystema __ N __  vokalsystiebma
vovdna __ N __  voaŋnna
vuhtiiváldin __ N __  vieledus
vuodjagoalki __ N __  gahpaloadtje
vuodjaláibi __ N __  vuodjalájbbe
vuodjat __ N __  vuodjat
vuodjinkoarta __ N __  vuodjemkårttå
vuogasvuohta __ N __  assto
vuogádat __ N __  vuogádahka
vuohkeoahppa __ N __  åhpadimvuohke
vuohččecuozza __ N __  snjárttjá
vuohčču __ N __  slijvve
vuoibmi __ N __  gievrrodus
vuoigŋa __ N __  vuojŋŋan
vuoigŋašat __ N __  vuojŋam
vuoivvas __ N __  librre
vuoiŋŋahat __ N __  vuojŋadahka
vuoiŋŋamaččat __ N __  vuojŋam
vuoiŋŋastanbeaivi __ N __  vuojŋadimbiejvve
vuojadanbasseaŋga __ N __  vuodjambassæŋŋa
vuojaš __ N __  vuojatjis
vuoktagoalsi __ N __  vuopptagoalsse
vuokta __ N __  vuoppta
vuoktačalbmi __ N __  vuopptatjalmme
vuoktačuohppi __ N __  biesskediddje
vuolginbeaivi __ N __  vuolggembiejvve
vuollegašvuohta __ N __  vuollegisvuohta
vuolleravda __ N __  vuollerabdda
vuonccis __ N __  vuonntsá
vuoncáfálli __ N __  tjuktjehábak
vuoncávaris __ N __  åresvuonntsá
vuoni __ N __  vuonev
vuonjaš __ N __  vuojatjis
vuoražas __ N __  vuoratjis
vuoraš __ N __  vuoratjis
vuordinlatnja __ N __  vuorddemladnja
vuordámuš __ N __  vuorddemus
vuoskku __ N __  vuoskun
vuossamátta __ N __  maŋebu
vuossárga __ N __  mánnodahka
vuosteháhku __ N __  vuosstemiella
vuosttaldeapmi __ N __  vuosteldibme
vuostálat __ N __  vuosstálahka
vuovdemeahkástat __ N __  vuovddemægástahka
vuovssábiergu __ N __  vuovsábierggo
vuođus __ N __  vuodo
vuođđogeađgi __ N __  vuodogiergge
vuođđogálga __ N __  vuodotjehpudahka
vuođđoskuvla __ N __  vuodoskåvllå
vuođđudus __ N __  vuododus
vuđolaš __ N __  vuodulasj
váddu __ N __  vihke
vádjit __ N __  vádne
vádjoleapmi __ N __  vájaldibme
vádjolus __ N __  vájaldus
váffel __ N __  váffal
váhnenbuolva __ N __  æjgátbuolvva
váhnengeasus __ N __  æjgátgæsos
váibmodávda __ N __  tsåhkevihke
váibmoláđisvuohta __ N __  ármmogisvuohta
váidalahtti __ N __  vájvve
váimmolaš __ N __  vájmulasj
váivválaš __ N __  vájválasj
vákšunpolitiija __ N __  váksjudimpolitijja
váldocealkka __ N __  oajvvegárgadis
váldosárggus __ N __  oajvveoasse
váldoášši __ N __  oajvveássje
váldošiehtadus __ N __  oajvvesjiehtadus
váldu __ N __  oajvve
válgabeaivi __ N __  jienastimbiejvve
válgajahki __ N __  válggajahke
válgalatnja __ N __  jienastimladnja
válli __ N __  vuornes
válljejupmi __ N __  válljim
vánheneana __ N __  ájtteklánnda
várregilga __ N __  luohkka
várrevielti __ N __  várrebállde
várálašvuohta __ N __  várálasjvuohta
vásihus __ N __  vásádus
vássánáigi __ N __  åvdepájgge
vásáhus __ N __  åtsådallam
váttisvuohta __ N __  gássjelisvuohta
vávvá __ N __  njuorakmánná
vázzinravda __ N __  váttsáldahka
weblogan __ N __  næhttalågån
websiidu __ N __  væbbabielle
ábegáhttu __ N __  áhppa
áddjut __ N __  áddjov
ágga __ N __  sivva
áhkkut __ N __  áhkkov
áhpegáddi __ N __  merragádde
áhčibeaivi __ N __  áhtjebiejvve
áideuksa __ N __  lijdda
áigerámma __ N __  ájggemierre
áigečála __ N __  ájggetjála
áigodat __ N __  ájgegávdda
áigumuš __ N __  ájggom
áigumuš __ N __  ájggomus
áittardeaddji __ N __  oahttse
áitta __ N __  ájtto
ákta __ N __  ávdda
álbmotallaskuvla __ N __  álmmukallaskåvllå
álbmotbellodat __ N __  álmmukbelludahka
álbmotdearvvašvuohta __ N __  álmmukvarresvuohta
álbmotmeahcci __ N __  luonndoárjudahka
álbmotregister __ N __  álmmukregistar
álbmotriekti __ N __  álmmukriektá
álbmotrievttálaš __ N __  álmmukrievtesvuohta
álbmotválljejuvvon __ N __  álmmukválljim
álddagas __ N __  eldagis
álggahalli __ N __  álgge
álggaheapmi __ N __  álgadibme
álgoálbmot __ N __  álggoálmmuk
állan __ N __  stihkko
állat __ N __  albba
álus __ N __  álos
ámadadju __ N __  muohto
ámtamánni __ N __  ámtmánne
áppa __ N __  æhppa
árbevirolaš __ N __  árbbedábálasj
ária __ N __  arijá
árpmuheapme __ N __  ármodibme
árvosátnegirji __ N __  karaktierragirjje
árvvoheapme __ N __  árvodibme
árvvoštallan __ N __  árvustallam
ásahus __ N __  institusjåvnnå
ása __ N __  rijppi
ásen __ N __  oassná
ásodat __ N __  årudahka
ássanminsttar __ N __  årromvuohke
ássi __ N __  viesajdiddje
ássi __ N __  årro
áviisa __ N __  avijssa
ávji __ N __  ájvve
ávjovárrelaš __ N __  ávjovárelasj
ávkkálaš __ N __  ávkálasj
ávnnas __ N __  ábnas
ávnnas __ N __  æbnna
ávsgárri __ N __  hávsgárre
ávvobeaivi __ N __  ávvobiejvve
ávvudanbeaivi __ N __  ávvudallambiejvve
ávžžuhus __ N __  ávttjimus
áŋggirdeaddji __ N __  berustiddje
áŋgiruššansuorgi __ N __  vuorodimsuorgge
áŋgiruššan __ N __  ratjástibme
áŋkor __ N __  áŋker
áššeprosa __ N __  ássjepruvssá
ødema __ N __  ødiebma
čakčamánnu __ N __  ragátmánno
šaldi __ N __  råvve
čalmmeheapme __ N __  tjalmedibme
čanastat __ N __  tjanástahka
šattus __ N __  sjattos
čeahci __ N __  tjiehtje
šearbma __ N __  sjærmma
čearddalašvuohta __ N __  tjerdalasjvuohta
čearddalaš __ N __  tjerdalasj
čearpmat __ N __  tjermak
čearret __ N __  tjierrek
čearrit __ N __  tjierrek
čearru __ N __  tjærro
šibit __ N __  slidor
šiehtadallan __ N __  sjiehtadallam
čiekčanspábba __ N __  tjiektjambállo
čielgi __ N __  tjavelk
šiella __ N __  sjiella
čierastat __ N __  tjerastahka
čiežalogis __ N __  gietjavlåges
čiežanuppelogis __ N __  lågenangietjas
čiežas __ N __  gietjas
čikŋa __ N __  hærvva
čikŋodat __ N __  tjiegŋudahka
čilgehus __ N __  tjielggidus
šillju __ N __  salljo
šilta __ N __  galbba
širrá __ N __  givssa
čižži __ N __  njidtje
šlipsa __ N __  slippsa
šlánta __ N __  guohpárbiednigasj
šlápma __ N __  juhtsa
šlávva __ N __  oarjje
šnjilžut __ N __  snjilltjat
šnjilččas __ N __  snjiltjas
šnjilžžas __ N __  snjiltjas
čoagganeapmi __ N __  tjåhkanibme
čoahkkinbeaivi __ N __  tjåhkanimbiejvve
čoahkkinjođiheaddji __ N __  tjåhkanimjådediddje
čoahkku __ N __  tjoahkke
čoahkkádus __ N __  tjoahkkájbiedjam
čoahkkáigeassu __ N __  tjoahkkájgæsos
čoakkalmasat __ N __  tjåhkalvis
čoakkalmas __ N __  tjåhkalvis
čoakkáldat __ N __  tjoakkáldahka
čoakkán __ N __  tjåhkanibme
šoallat __ N __  sjåvvat
čoarbbealli __ N __  tjårbielle
čoavddus __ N __  tjoavdos
čoavjebávččas __ N __  tjoajvvebånjådahka
čoavji __ N __  tjoajvve
čogu __ N __  rájdam
čohkun __ N __  rájdam
čorbmaváimmus __ N __  tjårmmåvuodo
čorgatvuohta __ N __  rájnasvuohta
šuhkoláda __ N __  sjokoláhta
čujuhus __ N __  vuosádus
čukčá __ N __  tjuktje
čuohtejahki __ N __  tjuohtejahke
čuohtásaoaivámuš __ N __  doarrooajvve
čuoibmi __ N __  tjuojmma
čuoigansiivu __ N __  sabekfierdda
čuoigan __ N __  tjuojggam
čuojaheaddji __ N __  tjuojadiddje
čuojaldahttit __ N __  riŋŋgut
čuokkis __ N __  tjuogga
šuokŋa __ N __  tjuojalvis
čuonji __ N __  gássa
čuonjá __ N __  gássa
čuopma __ N __  tjuobma
čuovganeapmi __ N __  sjuoludibme
čuovvumuš __ N __  boados
čuođis __ N __  tjuodes
