                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
guhkkit	guhkket
sivvadaččat	sivvadattjat
skaippil	skajpel
skavžut	skavttjut
skavžžil	skavtjel
skeaŋkkas	skieŋkas
skeavžut	skievttjut
skiehkil	skiehkel
skielgut	skielggut
skihčil	skihtjel
skivnnjil	skivnjel
skoavddil	skoavdel
skolppil	skålpel
skuhčut	skuhtjut
skuibbil	skujbel
skuibut	skujbbut
skurdnjut	skurnnjut
skužil	skutjel
smarffil	smarfel
smarvvil	smarvel
smilččil	smiltjel
smuhččut	smuhttjut
smuhčil	smuhtjel
smávvásiid	smávvásijd
sneakta	sniekta
snogil	snågel
snogástahkii	snågåstahkij
snohkut	snåhkut
snolkut	snålkkut
snoril	snårel
snurttul	snurtul
snuvtut	snuvttut
snáhppásit	snáhppáset
snáittil	snájtel
soabbegieđas	soabbegiedas
soabbegihtii	soabbegihtij
soamesiin	soamesijn
sodjagasas	sådjågasas
sodjagassii	sådjågassij
sodjut	sådjut
soggelačča	såggelattja
soggelaččas	såggelattjas
soggelaš	såggelasj
soggelažžii	såggeladtjij
soggeleappos	såggeleappos
soggelebbui	såggelebbuj
soggeleppožii	såggeleppotjij
soggeleppožis	såggeleppotjes
soggelii	såggelij
soggeliidda	såggelijdda
soggelis	såggeles
soggil	såggel
sojil	såjel
sojul	såjul
sokka	såkkå
sokkibui	såkkebuj
sokkibuidda	såkkebujdda
sokkibus	såkkebus
soril	sårel
sorjjakeahttá	sårjåkeahttá
sorragasas	sårrågasas
sorragassii	sårrågassij
sparrolagaid	sparrulagajd
spiehččut	spiehttjut
spiehčil	spiehtjel
spileš	spilesj
spillui	spilluj
starga	stargga
stohporáigge	ståhpurájgge
stáđđásit	stáddáset
suige	sujgge
sulaid	sulájd
sulain	sulájn
sullalagaid	sullalagajd
sullii	sullij
sulli	sulle
sulsullii	sulssullij
summalis	summales
summalit	summalet
suohkadit	suohkadet
suohkkogerddiid	suohkkugerddijd
suohkkojuolggis	suohkkujuolgges
suoibma	suojmma
suoimmal	suojmal
suolggaid	suolgajd
suoli	suole
suolivuoli	suolevuole
suollit	suollet
suollugit	suolluget
suoril	suorel
suvdálaga	suvddálaga
sáhkalagaid	sáhkalagajd
sákkil	sákkel
sálbolagaid	sálbbulagajd
sálbut	sálbbut
sárdnumassii	sárnnumassij
sáttonaga	sáttunaga
sávnnjil	sávnjel
sávvamis	sávvames
teahtta	tiehtta
tiimmahala	tijmahala
uhccán	uhttsán
uhccánaš	uhttsánasj
uhces	uhtses
uhcesii	uhtsesij
uhcibut	uhtsebut
uhcimus	uhtsemus
uhcimusat	uhtsemusat
uhcimusge	uhtsemusge
uhcimustá	uhtsemustá
uhcit	uhtset
uhcán	uhtsán
uhcánaččaid	uhtsánattjajd
uhcánaš	uhtsánasj
uhcánii	uhtsánij
uhtesii	uhtesij
uksalačča	uksalattja
uksalaččas	uksalattjas
uksalaš	uksalasj
uksalažžii	uksaladtjij
uksalebbui	uksalebbuj
uksaleppožii	uksaleppotjij
uksaleppožis	uksaleppotjes
uksalii	uksalij
uksaliidda	uksalijdda
uksalis	uksales
unnibut	unnebut
unnimus	unnemus
unnimusat	unnemusat
unnimustá	unnemustá
unnit	unnet
unnánaččaid	unnánattjajd
unnánii	unnánij
uskelačča	usskelattja
uskelaččas	usskelattjas
uskelaš	usskelasj
uskelažžii	usskeladtjij
uskeleappos	usskeleappos
uskelebbui	usskelebbuj
uskeleppožii	usskeleppotjij
uskeleppožis	usskeleppotjes
uskelii	usskelij
uskeliidda	usskelijdda
uskelis	usskeles
uskil	usskel
uskin	ussken
uskkos	uskus
uvssobealde	uvsubealde
uvssobeale	uvsubeale
uvssobeallai	uvsubeallaj
uvssogeahčai	uvsugeahtjaj
uvssogeahčen	uvsugeahtjen
uvssos	uvsus
vahkkobotta	vahkkubotta
vahkkosaččat	vahkkusattjat
vahkkoviissaid	vahkkuvijssajd
vajos	vajus
vajot	vajut
vakŋut	vagŋut
valjis	valjjes
valjit	valjjet
vaŋkut	vaŋkkut
varasnaga	varásnaga
varga	vargga
vargahui	varggahuj
vargui	vargguj
varrasis	varrases
vatnagasas	vadnagasas
vatnagassii	vadnagassij
váidagahttá	vájddagahttá
vávda	vávdda
veaddagasas	vieddagasas
veaddagassii	vieddagassij
veaddagii	vieddagij
veaddagis	vieddages
veagal	viegal
veahkaválddil	viehkaválddel
veahkkálagaid	væhkkálagajd
veahkájo	væhkájo
veahttasit	viehttaset
veahá	væhá
veaiddalassii	viejdalassij
veaiddalis	viejdales
veaittalassii	viejtalassij
vealggás	vælgás
veallut	viellut
vealttakeahttá	vieltakeahttá
veanzut	vienttsut
veanzzil	vientsel
vearis	vieres
veastal	viesstal
veastalabbos	viesstalabbos
veastalabbui	viesstalabbuj
veastalačča	viesstalattja
veastalaččas	viesstalattjas
veastalažžii	viesstaladtjij
veastalii	viesstalij
veastaliidda	viesstalijdda
veastalis	viesstales
veastan	viesstan
veasttabealde	viestabealde
veasttabeale	viestabeale
veasttabeallai	viestabeallaj
veasttabui	viestabuj
veasttabuidda	viestabujdda
veasttabus	viestabus
veasttal	viestal
veasttas	viestas
veháš	vehásj
vehážiid	vehátjijd
vejolaččat	vejulattjat
velábusnai	velábusnaj
viđadassii	vidádassij
viđadis	vidádes
viehkanlávkái	viehkanlávkáj
vieljaš	vieljjasj
vielttil	vieltel
viesttarbealde	viestarbealde
viesttarbeale	viestarbeale
viesttarbeallai	viestarbeallaj
viesttargeahčai	viestargeahtjaj
viesttargeahčen	viestargeahtjen
viežžanládje	viedtjanládje
vihttii	vihttij
viidnanaga	vijnnanaga
viidnenaga	vijnnenaga
viidáseappot	vijddáseappot
viidát	vijddát
viiddásat	vijdásat
viiddáseappot	vijdáseappot
viimmat	vijmat
viidáset	vijddáset
viidásit	vijddáset
viisásit	vijssáset
viivvuheamet	vijvuheamet
vilbeleš	vilbbelesj
vinjil	vinjel
virramii	virramij
visot	visut
visožit	visutjet
vissásii	vissásij
vitnjalassii	vidnjalassij
vitnjut	vidnjut
vivaš	vivasj
vuhkohagaid	vuhkuhagajd
vuhtii	vuhtij
vuiges	vujgges
vuigestaga	vujggestaga
vulobealde	vulubealde
vulobeale	vulubeale
vulobeallai	vulubeallaj
vulogeahčai	vulugeahtjaj
vulogeahčen	vulugeahtjen
vulogeaže	vulugeatje
vulos	vulus
vuogálaččat	vuogálattjat
vuohččan	vuohttjan
vuohkkasit	vuohkkaset
vuohon	vuohun
vuoiddasnaga	vuojdasnaga
vuoiga	vuojgga
vuoikka	vuojka
vuolibučča	vuolebuttja
vuolibuččas	vuolebuttjas
vuolibui	vuolebuj
vuolibuidda	vuolebujdda
vuolibus	vuolebus
vuolibuš	vuolebusj
vuolibužžii	vuolebudtjij
vuolil	vuolel
vuolimus	vuolemus
vuollai	vuollaj
vuollegaččat	vuollegattjat
vuollelačča	vuollelattja
vuollelaččas	vuollelattjas
vuollelaš	vuollelasj
vuollelaš	vuollelasj
vuollelažžii	vuolleladtjij
vuollelebbui	vuollelebbuj
vuolleleppožii	vuolleleppotjij
vuolleleppožis	vuolleleppotjes
vuollelii	vuollelij
vuolleliidda	vuollelijdda
vuollelis	vuolleles
vuollelit	vuollelet
vuollil	vuollel
vuollin	vuollen
vuollugit	vuolluget
vuollái	vuolláj
vuollálagaid	vuollálagajd
vuolábeallai	vuolábeallaj
vuolágeahčai	vuolágeahtjaj
vuolágeahčen	vuolágeahtjen
vuolágeaže	vuolágeatje
vuonabui	vuonabuj
vuonabuidda	vuonabujdda
vuordagasas	vuorddagasas
vuorjjit	vuorjet
vuosseállái	vuosseálláj
vuoste	vuosste
vuosteasiid	vuossteasijd
vuostebeaivái	vuosstebeajváj
vuostečomil	vuosstetjomel
vuostečáhcái	vuosstetjáhtsáj
vuostegobil	vuosstegobel
vuostegulgii	vuosstegulgij
vuostejohtimii	vuosstejohtimij
vuostelii	vuosstelij
vuostelis	vuossteles
vuostemurrii	vuosstemurrij
vuosteoalgái	vuossteoalgáj
vuosterávdnjái	vuossterávnnjáj
vuostil	vuosstel
vuosttabealde	vuostabealde
vuosttabeale	vuostabeale
vuosttabeallai	vuostabeallaj
vuosttain	vuostajn
vuosttamustá	vuostamustá
vuosttažettiin	vuostatjettijn
vuosttažettiin	vuostatjettijn
vuostten	vuosten
vuosttil	vuostel
vuosttás	vuostás
vuostái	vuosstáj
vuostálagaid	vuosstálagajd
vuotnal	vuodnal
vuotnalačča	vuodnalattja
vuotnalaččas	vuodnalattjas
vuotnalaš	vuodnalasj
vuotnalažžii	vuodnaladtjij
vuotnaleappos	vuodnaleappos
vuotnalebbui	vuodnalebbuj
vuotnaleppožii	vuodnaleppotjij
vuotnaleppožis	vuodnaleppotjes
vuotnalii	vuodnalij
vuotnaliidda	vuodnalijdda
vuotnalis	vuodnales
vuotnámaš	vuodnámasj
vuotton	vuottun
vuovddal	vuovdal
vuovddehussii	vuovdehussij
vuovderáigge	vuovdderájgge
vuovdemassii	vuovddemassij
vuovdimassii	vuovddemassij
vuovdinláhkai	vuovddenláhkaj
vurjjet	vurjet
vurohagaid	vuruhagajd
vurrolagaid	vurrulagajd
vurrolaga	vurrulaga
vurrola	vurrula
vurrol	vurrul
vuvdojupmái	vuvddujupmáj
vácci	váttse
vádjit	vádjet
váibamassii	vájbbamassij
váile	vájle
váilevaččat	vájlevattjat
váillil	vájllel
váimmobáhkasnaga	vájmubáhkasnaga
váimmoguovdo	vájmuguovdo
válbmasii	válmmasij
vánit	vánet
váraid	várájd
váras	várás
vári	váre
váribui	várebuj
váribuidda	várebujdda
váribus	várebus
várrelačča	várrelattja
várrelaččas	várrelattjas
várrelaš	várrelasj
várrelažžii	várreladtjij
várrelebbui	várrelebbuj
várreleppožii	várreleppotjij
várreleppožis	várreleppotjes
várrelii	várrelij
várreliidda	várrelijdda
várrelis	várreles
várril	várrel
várrogasat	várrugasat
vásedin	váseden
vátneviša	vádnevisja
áđamusat	ádámusat
áddemeahttumit	áddemeahttumet
áhčeš	áhtjesj
áhkkorat	áhkkurat
áhkáš	áhkásj
áibbas	ájbas
áiddo	ájdo
áiddobeliid	ájdubelijd
áiggebále	ájgebále
áiggelassii	ájgelassij
áigges	ájges
áiggil	ájgel
áiggokeahttá	ájgukeahttá
áigovaččat	ájgguvattjat
áigá	ájggá
áigálii	ájggálij
áimmuide	ájmujde
áin	ájn
áinnas	ájnas
áinnaš	ájnasj
álbmogassii	álmmugassij
álebuš	álebusj
álelassii	álelassij
álfárot	álffárot
álfárut	álffárut
álggage	álgage
álggogeahčai	álgugeahtjaj
álggogeahčen	álgugeahtjen
álggos	álgus
álgobáliid	álggubálijd
álggugeahčen	álgugeahtjen
álgočalbmái	álggutjalmmáj
álgogeahčai	álggugeahtjaj
álgogeahčen	álggugeahtjen
álgoálggos	álggoálggos
álguige	álggujge
álgáge	álggáge
áli	ále
álohii	áluhij
álolaččat	álulattjat
áloládje	áluládje
álot	álut
álas	álás
álásin	álásen
bealleálásin	bielleálásen
ándagassii	ánddagassij
árabui	árábuj
árabuidda	árábujdda
árabuš	árábusj
árgaiđedis	árggajdedes
árgget	árget
árkkit	árket
árpmoheamit	ármuheamet
árradit	árradet
árvalusas	árvvalusas
ávccá	ávttsá
ávjjul	ávjul
ávjolassii	ávjjulassij
álkibut	álkkebut
álkimusat	álkkemusat
álkit	álkket
buoragit	buoraget
siivvožit	sijvutjet
siivvus	sijvus
siivobut	sijvvubut
siivomusat	sijvvumusat
siivvubut	sijvubut
siivvumusat	sijvumusat
siivvut	sijvut
siivot	sijvvut
vearrut	vierrut
vearrábut	værrábut
vearábut	værábut
vearrámusat	værrámusat
vearámusat	værámusat
julga	julgga
julggabut	julgabut
julggamus	julgamus
julggamusat	julgamusat
julggamusta	julgamusta
stuoribut	stuorebut
stuorimusat	stuoremusat
stuorimustá	stuoremustá
eanemus	ienemus
eanemustá	ienemustá
eanet	ienet
eanot	ienut
farggabut	fargabut
farggamus	fargamus
farggamusat	fargamusat
hárve	hárvve
hárvvet	hárvet
hárvvibut	hárvebut
hárvvimusat	hárvemusat
hárvvit	hárvet
rievttabut	rievtabut
rievttamus	rievtamus
lagabut	lagábut
lagamustá	lagámustá
lagat	lagát
árabut	árábut
áramus	árámus
áramusat	árámusat
áramustá	árámustá
árat	árát
guhkimus	guhkemus
guhkimusat	guhkemusat
guhkimustá	guhkemustá
guhkit	guhket
guhkibut	guhkebut
dávjá	dávjjá
dávjábut	dávjjábut
dávjámusat	dávjjámusat
dávjjibut	dávjebut
dávjjimus	dávjemus
dávjjimustá	dávjemustá
dárkket	dárket
dárkkibut	dárkebut
dárkkit	dárket
dárkkit	dárket
dárkkimusat	dárkemusat
