                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>	a
máŋgga#čearddalaš	máŋga#tjierdalasj	a
máŋggaid#gaskasaš	máŋgajd#gasskasasj	a
máŋggalágan	máŋgalágan	a
máŋggalágán	máŋgalágán	a
máŋggašlái	máŋgasjláj	a
mášiinnalaš	másjijnalasj	a
máŧoheapme	mátuheapme	a
máŧolaš	mátulasj	a
máŧuheapme	mátuheapme	a
nalas	nalás	a
namahahtti	namáhahtte	a
namakeahtes	namákeahtes	a
nana#guoddevaš	nana#guoddevasj	a
nannehahtti	nannehahtte	a
nannemeahttun	nannemeahttun	a
nasála	nasála	a
nationála	nationála	a
nautalaš	nautalasj	a
navkkas	navkas	a
nađaheapme	nadáheapme	a
nađđa#joatkkalaš	nadda#joatkkalasj	a
našonála	nasjunála	a
našunála	nasjunála	a
našuvnnalaš	nasjuvnalasj	a
naššuvnnalaš	nassjuvnalasj	a
neagoheapme	nieguheapme	a
nearas	nieras	a
nearoheapme	nieruheapme	a
negatiiva	negátijva	a
negatiivalaš	negátijvalasj	a
negatiivvalaš	negátijvvalasj	a
neo#lihtalaš	neo#lihtalasj	a
neo^grammatihkalaš	neo^grammatihkalasj	a
nepper	nepper	a
neutrála	neutrála	a
nevvot	nevvut	a
niesttiheapme	niesteheapme	a
nievkkas	nievkas	a
njabas	njabás	a
njagas	njagás	a
njalppas	njalpas	a
njalssas	njalsas	a
njaláhas	njaláhas	a
njarvvas	njarvas	a
njavgat	njavggat	a
njavččas	njavtjas	a
njealje#geardán	njieljje#gærddán	a
njealje#geardásaš	njieljje#gærddásasj	a
njeallje#juvllat	njiellje#juvlat	a
njeavccas	njievttsas	a
njeađgi	njiergge	a
njeaššas	njiessjas	a
njieloheapme	njieluheapme	a
njieluheapme	njieluheapme	a
njivlla	njivla	a
njivllas	njivlas	a
njoahppat	njoahppat	a
njoahppil	njoahppel	a
njoaiddus	njoajdus	a
njoalccas	njoaltsas	a
njoalokeahtes	njoalukeahtes	a
njoalppas	njoalpas	a
njoađggas	njoargas	a
njoađvvas	njoarvas	a
njuneheapme	njuneheapme	a
njuniheapme	njuneheapme	a
njuokkas	njuokkas	a
njuokčan#vuloš	njuoktjan#vulusj	a
njuolggadus#vuloš	njuolgadus#vulusj	a
njuolggaduslaš	njuolgaduslasj	a
njuolgguslaš	njuolguslasj	a
njuolvves	njuolves	a
njuorradeaddji	njuorradeaddje	a
njuorvvas	njuorvas	a
njuorššas	njuorsjas	a
njuovžil	njuovttjel	a
njuovžžas	njuovtjas	a
njáiggos	njájgus	a
njáikkas	njájkas	a
njálggat	njálgat	a
njálggis	njálges	a
njálmmiheapme	njálmeheapme	a
njárgái	njárggáj	a
njávkkas	njávkas	a
njázos	njátsus	a
njáđđi	njádde	a
njáŋggas	njáŋgas	a
noaiddes	noajdes	a
nohkameahttun	nåhkåmeahttun	a
nohkavaš	nåhkåvasj	a
nohkkivaš	nåhkkevasj	a
nominatiiva#hápmásaš	nåmenatijva#hábmásasj	a
nominála	nåmenála	a
nomotehtalaš	nåmutehtalasj	a
normatiiva	nårmåtijva	a
normála	nårmåla	a
norrøna	nårrøna	a
nu#gohčoduvvon	nu#gåhtjuduvvon	a
nubbe	nubbe	a
nuohtaheapme	nuohtaheapme	a
nuolus	nuolus	a
nuoraid#psykiátralaš	nuorajd#psykiátralasj	a
nuovvas	nuovvas	a
nuppe#árvosaš	nuppe#árvvusasj	a
nuppelágan	nuppelágan	a
nuppáš	nuppásj	a
nurddas	nurdas	a
nurssas	nursas	a
náddjil	náddjel	a
náiiva	nájjva	a
náitalgeahtes	nájttalgeahtes	a
náitoslágan	nájttuslágan	a
nálggas	nálgas	a
náliheapme	náleheapme	a
nárvvas	nárvas	a
návvái	návváj	a
nášunála	násjunála	a
nášunálalaš	násjunálalasj	a
nášuvnnalaš	násjuvnalasj	a
nášuvnnála	násjuvnála	a
nášuvnála	násjuvnála	a
náššuvnnalaš	nássjuvnalasj	a
nøytrála	nøytrála	a
oahpismeahttun	oahpesmeahttun	a
oaidnimeahttun	oajnnemeahttun	a
oainnus	oajnus	a
oaive#lámis	oajvve#lámes	a
oaive#njuolggaduslaš	oajvve#njuolgaduslasj	a
oaivvesnaga	oajvesnaga	a
oaivviheapme	oajveheapme	a
oallásahtes	oallásahtes	a
oami#dovddoheapme	oame#dåvduheapme	a
oanehis#áigásaš	oanehis#ájggásasj	a
oapmedaš	oabmedasj	a
oaraheapme	åraheapme	a
oasiheapme	oaseheapme	a
oasse#mávssekeahtes	oasse#mávsekeahtes	a
oasse#áigásaš	oasse#ájggásasj	a
oassálaš	oassálasj	a
oavlái	oavlláj	a
oavsseheapme	oavseheapme	a
oavssiheapme	oavseheapme	a
oaččiheapme	oattjeheapme	a
oađekeat	oadekeat	a
objektiiva	åbjektijva	a
objektiivvalaš	åbjektijvvalasj	a
obmui	åbbmuj	a
observationála	åbservationála	a
offensiiva	åffensijva	a
offensiivvalaš	åffensijvvalasj	a
oidduheapme	åjduheapme	a
okkasionála	åkkåsionála	a
okta#geardán	åktå#gærddán	a
okta#geardásaš	åktå#gærddásasj	a
okta#vuolgganas	åktå#vuolganas	a
oktagaslaš	åktågaslasj	a
oktalaš	åktålasj	a
oktasaš	åktåsasj	a
oktat	åktåt	a
oktii#gullevaš	åktij#gullevasj	a
oktii#heivvolaš	åktij#hejvulasj	a
oktii#soahpevaš	åktij#soahpevasj	a
oktii#soahppevaš	åktij#soahppevasj	a
oktilaš	åktelasj	a
oktilis	åkteles	a
olatmeahttun	ålåtmeahttun	a
olbmoheapme	ålmmuheapme	a
olgeš	ålggesj	a
olggos#buoidi	ålgus#buojdde	a
olggubuš	ålgubusj	a
olgguldas	ålguldas	a
olggut	ålgut	a
olgo#parlamentáralaš	ålggo#parlamentáralasj	a
olgo#riikka#politihkalaš	ålggo#rijka#påletihkalasj	a
ollašuhttin#gelbbolaš	ållåtjuhttin#gelbulasj	a
olles#áigásaš	ålles#ájggásasj	a
olles#árvosaš	ålles#árvvusasj	a
ollislaš	ålleslasj	a
ollol#vuloš	ållul#vulusj	a
ollu	ållo	a
olmmoš#nákkis	ålmusj#nákkes	a
olu	ålo	a
olympalaš	ålympalasj	a
onomasiologalaš	ånumasiologalasj	a
operatiivvalaš	åperatijvvalasj	a
oppa	åppå	a
oppa#eurohpálaš	åppå#euruhpálasj	a
oppalaš	åppålasj	a
optimistalaš	åptemistalasj	a
optimála	åptemála	a
oranša	åråntja	a
ordásaš	årddåsasj	a
organisatoralaš	årggånisatoralasj	a
organisatovrralaš	årggånisatovrralasj	a
organisatuvrralaš	årggånisatuvrralasj	a
orgánalaš	årggånalasj	a
orientála	årientála	a
ortnet#gullevaš	årnet#gullevasj	a
orto^gráfalaš	årtto^gráfálasj	a
ortodoksalaš	årttudoksalasj	a
ortopedalaš	årttupedalasj	a
ortopediijalaš	årttupedijjalasj	a
oruhahtti	åruhahtte	a
oránša	åråntja	a
otná	ådnå	a
ovda#historjjálaš	åvddå#hissturjjálasj	a
ovda#mearkkalaš	åvddå#mierkalasj	a
ovda#romálaš	åvddå#råmålasj	a
ovdal#áiggi#riegádan	åvddål#ájge#riegádan	a
ovdalaš	åvddålasj	a
ovddas#vástáduslaš	åvdås#vásstáduslasj	a
ovddet#jagáš	åvdet#jagásj	a
ovddeš	åvdesj	a
ovddit	åvdet	a
ovdáneaddji	åvddåneaddje	a
ovtta#bealat	åvtå#bielat	a
ovtta#beallásaš	åvtå#bællásasj	a
ovtta#bealálaš	åvtå#bælálasj	a
ovtta#bealát	åvtå#bælát	a
ovtta#dimensionála	åvtå#dimensionála	a
ovtta#dássásaš	åvtå#dássásasj	a
ovtta#geardán	åvtå#gærddán	a
ovtta#geardásaš	åvtå#gærddásasj	a
ovtta#givrosaš	åvtå#givrrusasj	a
ovtta#guhkkosaš	åvtå#guhkkusasj	a
ovtta#háválaš	åvtå#háválasj	a
ovtta#háváš	åvtå#hávásj	a
ovtta#ivnnálaš	åvtå#ivnálasj	a
ovtta#luoddasaš	åvtå#luoddasasj	a
ovtta#lágan	åvtå#lágán	a
ovtta#mađu	åvtå#mado	a
ovtta#náittuslaš	åvtå#nájtuslasj	a
ovtta#oaivil	åvtå#oajvvel	a
ovtta#sorttat	åvtå#sårtåt	a
ovtta#sparggálaš	åvtå#spargálasj	a
ovtta#sullasaš	åvtå#sullasasj	a
ovtta#sárgálaš	åvtå#sárggálasj	a
ovtta#veardásaš	åvtå#værddásasj	a
ovtta#vásttolaš	åvtå#vástulasj	a
ovtta#áigásaš	åvtå#ájggásasj	a
ovtta#árvosaš	åvtå#árvvusasj	a
ovtta#čilggolaš	åvtå#tjilgulasj	a
ovttagaslaš	åvtågaslasj	a
ovttaheapme	åvtåheapme	a
ovttalaš	åvtålasj	a
ovttalágan	åvtålágan	a
ovttastuvvon	åvtåstuvvon	a
ovttilis	åvteles	a
ođasnuvakeahtes	ådåsnuvakeahtes	a
ođđa#mállet	åddå#mállet	a
ođđa#áigásaš	åddå#ájggásasj	a
ođđa^ivnnálaš	åddå^ivnálasj	a
palestiinnálaš	palestijnálasj	a
paradigmáhtalaš	parádigmáhtalasj	a
parlamentaralaš	parlamentaralasj	a
parlamenttalaš	parlamenttalasj	a
partiála	parttiála	a
passiivvalaš	passijvvalasj	a
patriarkálalaš	patriarkálalasj	a
peailasaš	piejlasasj	a
pedagogalaš	pedágogalasj	a
pedagogálaš	pedágogálasj	a
persovnnaheapme	perssuvnaheapme	a
persovnnalaš	perssuvnalasj	a
persovnnálaš	perssuvnálasj	a
persuvnnaheapme	perssuvnaheapme	a
persuvnnalaš	perssuvnalasj	a
peršuvnnalaš	perssjuvnalasj	a
pivlii	pivllij	a
pneumáhtalaš	pneumáhtalasj	a
po^ehtalaš	po^ehtalasj	a
politihkalaš	påletihkalasj	a
politihkkalaš	påletihkkalasj	a
politihkálaš	påletihkálasj	a
polygamiijalaš	pålygamijjalasj	a
polygámalaš	pålygámalasj	a
polára	pålåra	a
populeara#dieđalaš	påpuleara#diedalasj	a
populára	påpulára	a
posetiiva	påsetijva	a
positiiva	påsetijva	a
positiivalaš	påsetijvalasj	a
positiivvalaš	påsetijvvalasj	a
potentiála	påtentiála	a
pragmatihkalaš	pragmatihkalasj	a
pragmáhtalaš	pragmáhtalasj	a
praktihkalaš	praktehkalasj	a
prejudisiála	prejudisiála	a
preliminára	preleminára	a
prenten#gárvvis	prentten#gárves	a
primitiiva	primetijva	a
primitiivvalaš	primetijvvalasj	a
primára	primára	a
prinsihpalaš	prinssehpalasj	a
prinsihppalaš	prinssehppalasj	a
prinsipiála	prinssepiála	a
prinsipála	prinssepála	a
priváhta#rievttálaš	priváhta#rievtálasj	a
priváhta#vuoigatvuođalaš	priváhta#vuojggatvuodalasj	a
priváhtta	priváhtta	a
pro^gressiiva	pro^gressijva	a
pro^klihtalaš	pro^klihtalasj	a
problemáhtalaš	pråblemáhtalasj	a
produktiiva	pråduktijva	a
produktiivvalaš	pråduktijvvalasj	a
profehtalaš	pråfehtalasj	a
programmáhtalaš	prågråmmáhtalasj	a
projektionála	pråjektionála	a
prosentuála	pråsentuála	a
prosessu^ealla	pråsessu^iella	a
prosessuála	pråsessuála	a
prosálaš	pråsålasj	a
protestánttalaš	pråtestánttalasj	a
psyhkalaš	psyhkalasj	a
psyhkálaš	psyhkálasj	a
psykalaš	psykálasj	a
psykihkalaš	psykehkalasj	a
psykiátralaš	psykiátralasj	a
psykohtalaš	psykuhtalasj	a
psykologalaš	psykulogalasj	a
psykosomáhtalaš	psykusomáhtalasj	a
psykososiála	psykusosiála	a
punktuála	punktoála	a
pytagoralaš	pytágoralasj	a
páraheapme	páráheapme	a
pássiivvalaš	pássijvvalasj	a
raddálas	raddálas	a
radi^o#aktiiva	rade^o#aktijva	a
rahkat	rahkat	a
rahpas	rahpas	a
rajá#rastá	rajá#rasstá	a
rasisttalaš	rasestalasj	a
rastásaš	rasstásasj	a
rationála	rationála	a
ravdameahttun	ravddameahttun	a
ravddabuš	ravdabusj	a
ravddaheapme	ravdaheapme	a
ravddamus	ravdamus	a
ravjjas	ravjas	a
re^ella	re^ella	a
re^fleksiiva	re^fleksijva	a
re^presentatiiva	re^presentatijva	a
reahalaš	riehalasj	a
realistalaš	rielestalasj	a
reanzzas	rientsas	a
recessiiva	retsessijva	a
referentiála	referentiála	a
regi^onála	rege^ånåla	a
regi^onálalaš	rege^ånålalasj	a
regi^onálaš	rege^ånålasj	a
regi^unála	rege^unála	a
regiovdna#politihkalaš	regiovnna#påletihkalasj	a
registar#guovdasaš	regestar#guovddasasj	a
regulára	regulára	a
rehelaš	rehelasj	a
rekursiiva	rekursijva	a
relatiiva	relátijva	a
relatiivalaš	relátijvalasj	a
relationála	relátionála	a
relationálalaš	relátionálalasj	a
relevánta	relevánta	a
restriktiiva	restrektijva	a
retoralaš	returalasj	a
retorihkalaš	returihkalasj	a
retro#grádalaš	retro#grádálasj	a
reumáhtalaš	reumáhtalasj	a
revmáhtalaš	revmáhtalasj	a
reála	reála	a
reálistalaš	reálestalasj	a
reálisttalaš	reálestalasj	a
riddo#lagaš	riddo#lagasj	a
riebas	riebas	a
riekta	riekta	a
riektat	riektat	a
riekte#vuoimmalaš	riekte#vuojmalasj	a
riektelaš	riektelasj	a
rieppis	rieppes	a
rievdameahttun	rievddameahttun	a
rievdavaš	rievddavasj	a
rievssat	rievsat	a
rievssatheapme	rievsatheapme	a
rievssatkeahtes	rievsatkeahtes	a
rievttalaš	rievtalasj	a
rihkkasmeahttun	rihkkasmeahttun	a
rihča	rihtja	a
riikka#viidosaš	rijka#vijddusasj	a
riikkaid#gaskasaš	rijkajd#gasskasasj	a
riikkaidgaskkasaš	rijkajdgaskasasj	a
riikkasaš	rijkasasj	a
rikkas	rikkas	a
riskkaheapme	riskaheapme	a
rista#ráiddat	rissta#rájdat	a
ritmái	ritmáj	a
rittubuš	rittubusj	a
rivttes#oahpalaš	rivtes#oahpalasj	a
rišša#fiskat	rissja#fisskat	a
riššagoikkis	rissjagojkkes	a
roahkkálas	roahkkálas	a
roakkas	roakkas	a
roamššas	roamsjas	a
roanccas	roantsas	a
roassái	roassáj	a
roava	råva	a
roavis	roaves	a
roavččas	roavtjas	a
roađđat	roaddat	a
rohkkolas	råhkkulas	a
rohttejeaddji	råhttejeaddje	a
rohčat	råhtjåt	a
rojalisttalaš	råjålistalasj	a
romantalaš	råmåntalasj	a
romantihkalaš	råmåntihkalasj	a
románttalaš	råmånttalasj	a
rožas	råtjås	a
rukses#ruoná	rukses#ruoná	a
rukses-ruoná	rukses-ruoná	a
rukseslágan	rukseslágan	a
runta	runtta	a
ruobbe#coagis	ruobbe#tsoages	a
ruobbegoikkis	ruobbegojkkes	a
ruogŋái	ruoggŋáj	a
ruohppái	ruohppáj	a
ruohtis	ruohtes	a
ruojus	ruojus	a
ruoksat	ruoksat	a
ruoksájeaddji	ruoksájeaddje	a
ruonas	ruonas	a
ruoná	ruoná	a
ruonálágan	ruonálágan	a
ruossalas	ruossalas	a
ruostameahttun	ruosstameahttun	a
ruosti	ruosste	a
ruosttaheapme	ruostaheapme	a
ruovas	ruovas	a
ruovddaheapme	ruovdaheapme	a
ruovjjiheapme	ruovjeheapme	a
ruovttoheapme	ruovtuheapme	a
ruošša#beal	ruossja#biel	a
ruoŧa#giel	ruota#giel	a
russolas	russulas	a
ruvdnosaš	ruvnnusasj	a
ruvsui	ruvssuj	a
rytmálaš	rytmálasj	a
rábmii	rábbmij	a
rádi^o#aktiiva	ráde^o#aktijva	a
rádja#guovllu#guovdasaš	rádja#guovlo#guovddasasj	a
rádjilihkot	rádjelihkot	a
rádjálas	rádjálas	a
ráfiheapme	ráfeheapme	a
ráhkaduslaš	ráhkaduslasj	a
ráigioaivvat	rájggioajvvat	a
rájákeahtes	rájákeahtes	a
rámssas	rámsas	a
rámššas	rámsjas	a
rándulaš	ránddulasj	a
ránes#ruškat	ránes#russjkat	a
ránis	ránes	a
ráseheapme	ráseheapme	a
rásiheapme	ráseheapme	a
rásisttalaš	rásestalasj	a
rássái	rássáj	a
rávnnjeheapme	rávnjeheapme	a
rávnnjiheapme	rávnjeheapme	a
ráđas	rádás	a
ráđiheapme	rádeheapme	a
ráđus	rádus	a
ráđđeaddi	ráddeadde	a
sahpit	sahpet	a
saiggas	sajgas	a
sajiheapme	sajeheapme	a
salggas	salgas	a
sallalas	sallalas	a
seagas	siegas	a
seagus	siegus	a
seagáš	sægásj	a
seahkalas	siehkalas	a
seahkalis	siehkales	a
seahkálas	sæhkálas	a
seaibbiheapme	siejbeheapme	a
seainnibuš	siejnebusj	a
seakkisis	siekkeses	a
sealas	sielas	a
sealbbus	sielbus	a
sealggálas	sælgálas	a
sealggális	sælgáles	a
sealgálas	sælggálas	a
sealvi	sielvve	a
sealvvas	sielvas	a
seamma#dássásaš	siemma#dássásasj	a
seamma#govdosaš	siemma#gåvddusasj	a
seamma#háltásaš	siemma#hálltásasj	a
seamma#sullasaš	siemma#sullasasj	a
seamma#árvosaš	siemma#árvvusasj	a
seammalágan	siemmalágan	a
seammá#lágan	sæmmá#lágán	a
seammá#sullásaš	sæmmá#sullásasj	a
seammádássásaš	sæmmádássásasj	a
seammálágan	sæmmálágan	a
searválas	særvválas	a
seavdda	sievda	a
seavdnjat	sievnnjat	a
seavnnjus	sievnjus	a
seađas	siedas	a
seađus	siedus	a
seaŋgga#buorre	sieŋga#buorre	a
segmentálalaš	segmentálalasj	a
seismalaš	sejssmalasj	a
seksualálaš	seksoalálasj	a
seksuála	seksoála	a
seksuálaš	seksoálasj	a
sekundára	sekundára	a
sekventiála	sekventiála	a
selggolas	selgulas	a
selggolassii	selgulassij	a
semantihkalaš	semántihkalasj	a
semanttalaš	semánttalasj	a
semasiologalaš	semásiologalasj	a
semiohtalaš	semiohtalasj	a
semánttalaš	semánttalasj	a
sentimentála	senttementála	a
serddolaš	serdulasj	a
servodat#dieđalaš	servvudat#diedalasj	a
servodat#ekonomálaš	servvudat#ekunomálasj	a
servodat#vuostásaš	servvudat#vuosstásasj	a
servodatlaš	servvudatlasj	a
servodatlágan	servvudatlágan	a
servodatlágán	servvudatlágán	a
servvolaš	servulasj	a
sexualálaš	sexoalálasj	a
siddjii	siddjij	a
sidnui	siddnuj	a
sieddjái	sieddjáj	a
sieiva	siejvva	a
sierra	sierra	a
sierralágan	sierralágan	a
sierranas	sierranas	a
sievssaheapme	sievsaheapme	a
sieđas	siedas	a
sieđgái	sierggáj	a
sieđus	siedus	a
signifikánta	signefikánta	a
sihkar	sihkar	a
sihkkar	sihkkar	a
siiddalmas	sijdalmas	a
siido#doaibmasaš	sijddo#doajmmasasj	a
siidosaš	sijddusasj	a
siidái	sijddáj	a
siivolágan	sijvvulágan	a
siivvuheapme	sijvuheapme	a
silbasaš	silbbasasj	a
silbái	silbbáj	a
sillat	sillat	a
sinas	sinás	a
sipirjálaš	siperjálasj	a
sireráhkaduvvon	sireráhkaduvvon	a
sirkumpolára	sirkkumpolára	a
sisbuoidi	sisboojde	a
siskkaldas	siskaldas	a
siskkibuš	siskebusj	a
siskkildas	siskeldas	a
siskkit	sisket	a
siskkáldas	siskáldas	a
siskálas	sisskálas	a
siskálasti	sisskálaste	a
sivakeahtes	sivákeahtes	a
siviila#vuoigatvuođalaš	sivijla#vuojggatvuodalasj	a
siđus	sidus	a
skavžžas	skavtjas	a
skeartnja	skiernja	a
skehpposaš	skehppusasj	a
skemáhtalaš	skemáhtalasj	a
skeptihkalaš	skeptehkalasj	a
skieraskas	skieraskas	a
skievttáris	skievtáres	a
skihčas	skihtjas	a
skivnnjas	skivnjas	a
skiŋgil	skiŋggel	a
skjemáhtalaš	skjemáhtalasj	a
skoalddas	skoaldas	a
skoarras	skoarras	a
skoavddas	skoavdas	a
skohčči#bealjat	skåhttje#bieljjat	a
skolas	skålås	a
skožas	skåtjås	a
skuhttáris	skuhttáres	a
skuittas	skujtas	a
skurras	skurras	a
skurččas	skurtjas	a
skužas	skutjás	a
skáddjil	skáddjel	a
skáhppái	skáhppáj	a
skáigil	skájggel	a
skálvvas	skálvas	a
skárllat	skárllat	a
skárllat#ruoksat	skárllat#ruoksat	a
skárppis	skárpes	a
skárttas	skártas	a
smoahtis	smoahtes	a
smoalddas	smoaldas	a
smolggus	smålgus	a
smulkkas	smulkas	a
smurta#čáhppat	smurtta#tjáhppat	a
smurvvas	smurvas	a
smávislágan	smáveslágan	a
smávislágaš	smáveslágasj	a
snarras	snarras	a
snavggas	snavgas	a
snielis	snieles	a
snoakkis	snoakkes	a
snogas	snågås	a
snoras	snårås	a
snáhpis	snáhpes	a
snárkkas	snárkas	a
snárri	snárre	a
soabat#gorálaš	såbat#gårålasj	a
soadjas	soadjas	a
soadje#orddálaš	soadje#årdålasj	a
soahkkái	soahkkáj	a
soahpavaš	soahpavasj	a
soahppevaš	soahppevasj	a
soahtigiivvis	soahtegijvves	a
soajiheapme	soajeheapme	a
soalddas	soaldas	a
soameslágan	soameslágan	a
soamiheapme	soameheapme	a
soarppas	soarpas	a
soarvveheapme	soarveheapme	a
soarvviheapme	soarveheapme	a
soavllas	soavlas	a
soaččas	soattjas	a
soađe#maŋáš	soade#maŋásj	a
soađi#áigásaš	soade#ájggásasj	a
soft-gun	såft-gun	a
sohkabeal#guoskevaš	såhkåbeal#guosskevasj	a
sohkenis	såhkenes	a
soiddas	såjdås	a
soidnáris	såjnnåres	a
sojankeahtes	såjånkeahtes	a
sojuheapme	såjuheapme	a
sokkibuš	såkkebusj	a
soktái	såktåj	a
solidáralaš	såledáralasj	a
somáhtalaš	såmåhtalasj	a
sonjas	sånjås	a
soras	sårås	a
sorjankeahtes	sårjjånkeahtes	a
sorjjakeahtes	sårjåkeahtes	a
sorjjas	sårjås	a
sorjjaskeahtes	sårjåskeahtes	a
sorjjasmeahttun	sårjåsmeahttun	a
sosi^ala	såse^ala	a
sosi^alisttalaš	såse^alestalasj	a
sosi^o#ekonomálaš	såse^o#ekunomálasj	a
sosi^o#kultuvrralaš	såse^o#kulltuvrralasj	a
sosi^o-kultuvrralaš	såse^o-kulltuvrralasj	a
sosi^ologalaš	såse^ålugalasj	a
sosiál#darwinistalaš	såsiál#darwenistalasj	a
sosiála	såsiála	a
sosiála#demo^kráhtalaš	såsiála#demo^kráhtalasj	a
sosiála#politihkalaš	såsiála#påletihkalasj	a
sosiálalaš	såsiálalasj	a
sovkkenis	såvkenes	a
sovttas	såvtås	a
spakkas	spakkas	a
spalccas	spaltsas	a
spanjas	spanjás	a
spealnnjas	spielnjas	a
speanta	spientta	a
spesifalaš	spesefalasj	a
spesifihkka	spesefihkka	a
spesiála	spesiála	a
spesiála#pedagogalaš	spesiála#pedágogalasj	a
spierta#čáhppat	spiertta#tjáhppat	a
spildar#ođas	spilldar#ådås	a
spinjas	spinjás	a
spoadnái	spoaddnáj	a
spoanas	spånas	a
spontána	spånttåna	a
spáhkis	spáhkes	a
spáigil	spájggel	a
spásmmalaš	spásmalasj	a
sráŋggaheapme	sráŋgaheapme	a
statihkalaš	statehkalasj	a
statistalaš	statestalasj	a
steanžžas	stientjas	a
steavdda	stievda	a
steaččas	stiettjas	a
stereo#tiippalaš	stereo#tijpalasj	a
stiivvis	stijves	a
stilistalaš	stilestalasj	a
stilistihkalaš	stilestihkalasj	a
stirddus	stirdus	a
stohkas	ståhkås	a
stožas	ståtjås	a
strukturalisttalaš	strukturalistalasj	a
strukturála	strukturála	a
struktuvrralaš	struktuvrralasj	a
stuorebuš	stuorebusj	a
sturccas	sturtsas	a
stábat	stábát	a
stáhppái	stáhppáj	a
stáhta#eanádatlaš	stáhta#ænádatlasj	a
stáleheapme	stáleheapme	a
stáliheapme	stáleheapme	a
stáččas	státtjas	a
subjektiiva	subjektijva	a
subjektiivvalaš	subjektijvvalasj	a
subsidiára	subsediára	a
subsidiáralaš	subsediáralasj	a
subtropalaš	subtrupalasj	a
suddil	suddel	a
sudnii	suddnij	a
sudnjui	suddnjuj	a
suhkkes	suhkkes	a
suhkkol#hámat	suhkkul#hámát	a
suhppái	suhppáj	a
suksii	suksij	a
sullalas	sullalas	a
sullasaš	sullasasj	a
sullásaš	sullásasj	a
suoddjái	suoddjáj	a
suodnái	suoddnáj	a
suohkanlaš	suohkanlasj	a
suohkkul	suohkkul	a
suoibma#mohkat	suojmma#måhkåt	a
suojeheapme	suojeheapme	a
suojiheapme	suojeheapme	a
suokkis	suokkes	a
suoksái	suoksáj	a
suollemas	suollemas	a
suoma#giel	suoma#giel	a
suopmaniid#gaskasaš	suobmanijd#gasskasasj	a
suorge#joatkkalaš	suorgge#joatkkalasj	a
suorggatlaš	suorgatlasj	a
suorggi#guovdasaš	suorge#guovddasasj	a
suorgái	suorggáj	a
suovat	suovat	a
suovggas	suovgas	a
surgat	surggat	a
surgatlaš	surggatlasj	a
suvdil	suvddel	a
syklihkalaš	syklehkalasj	a
symbolalaš	symbbulalasj	a
symbolihkalaš	symbbulihkalasj	a
symmehtralaš	symmehtralasj	a
symmetrihkalaš	symmetrihkalasj	a
symptomáhtalaš	symptumáhtalasj	a
syn^kronalaš	syn^krånålasj	a
synonymalaš	synunymalasj	a
synsemánttalaš	synssemánttalasj	a
syntagmáhtalaš	synttagmáhtalasj	a
syntehtalaš	synttehtalasj	a
syntávsslaš	synttávsslasj	a
syntávttalaš	synttávttalasj	a
systemahtalaš	sysstemahtalasj	a
systemáhtalaš	sysstemáhtalasj	a
sáhkat	sáhkat	a
sáhkkit	sáhkket	a
sáhpeheapme	sáhpeheapme	a
sáhpiheapme	sáhpeheapme	a
sáhtehahtti	sáhtehahtte	a
sáhtihahtti	sáhtehahtte	a
sáiggas	sájgas	a
sáissas	sájsas	a
sákkas	sákkas	a
sálte#doallevaš	sállte#doallevasj	a
sáltteheapme	sálteheapme	a
sálttiheapme	sálteheapme	a
sálttisis	sálteses	a
sáme#giel	sáme#giel	a
sáme#politihkalaš	sáme#påletihkalasj	a
sáme#vulgosaš	sáme#vulggusasj	a
sánekeahtes	sánekeahtes	a
sániheapme	sáneheapme	a
sátne#siskkáldas	sádne#siskáldas	a
sátne#álgosaš	sádne#álggusasj	a
sávahahtti	sáváhahtte	a
sávaldat#guovdásaš	sáváldat#guovddásasj	a
taktiila	taktijla	a
teahtis	tiehtes	a
teatrálalaš	tætrálalasj	a
teknalaš	teknalasj	a
teknihkalaš	teknehkalasj	a
teknihkkalaš	teknehkkalasj	a
teknologalaš	teknulogalasj	a
tekstuála	tekstoála	a
telihkalaš	telehkalasj	a
tematalaš	temátalasj	a
temporála	temppurála	a
temáhtalaš	temáhtalasj	a
teologalaš	teolugalasj	a
termála	termála	a
territoriála	terretoriála	a
tiibmosaš	tijmmusasj	a
toleránta	tåleránta	a
topo^gráfalaš	tåpo^gráfálasj	a
tragihkalaš	tragehkalasj	a
transitiiva	transsetijva	a
transitiivvalaš	transsetijvvalasj	a
traumáhtalaš	traumáhtalasj	a
tribunála	tribunála	a
triviála	triviála	a
trohpalaš	tråhpålasj	a
trolahis	trålåhes	a
tropalaš	tråpålasj	a
tuljánis	tuljjánes	a
tullut	tullut	a
tuolloheapme	tuolluheapme	a
tupaan	tupaan	a
tuvalaš	tuválasj	a
typihkalaš	typehkalasj	a
táhpalaš	táhpalasj	a
uhcis	uhtses	a
uhcánaš	uhtsánasj	a
ulbmillaš	ulmmellasj	a
ulbmilmeahttun	ulmmelmeahttun	a
ulbmálaš	ulmmálasj	a
ulbmállaš	ulmmállasj	a
ultra^mariidna	ultra^marijnna	a
umas	umás	a
umassi	umásse	a
universála	uneversála	a
unohas	unuhas	a
utnuheapme	udnuheapme	a
uvjjaheapme	uvjaheapme	a
vadnil	vaddnel	a
vahccái	vahttsáj	a
vahkat	vahkat	a
